#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-07-01T02:16:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595703800436	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595703800436&-file=-c&-oc.form=dec&-out.form=hori&-out.add=_1&-c.r=2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=B-V&-out=SpType&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
Cl Melotte 25 68        	 20873	04 28 23.34	+14 44 27.7	 5.90	 67.09723620	 14.74102599	  18.42	 0.325	F0IV

Cl Melotte 25 69        	 20890	04 28 37.15	+19 44 26.8	 8.62	 67.15480244	 19.74078200	  20.09	 0.741	G8V

Cl Melotte 25 7         	 18327	03 55 06.41	+16 59 54.7	 8.99	 58.77671455	 16.99853743	  24.16	 0.895	K2

Cl Melotte 25 73        	 20899	04 28 48.23	+17 17 07.9	 7.83	 67.20096632	 17.28553719	  21.09	 0.609	G2V

Cl Melotte 25 76        	 20949	04 29 30.71	+26 40 18.0	 9.19	 67.37796582	 26.67166648	  17.08	 0.766	G5

Cl Melotte 25 77        	 20935	04 29 20.49	+17 32 42.0	 7.02	 67.33537074	 17.54501189	  23.25	 0.526	F7V

Cl Melotte 25 78        	 20948	04 29 30.29	+17 51 47.7	 6.90	 67.37619058	 17.86324256	  21.59	 0.451	F6V

Cl Melotte 25 79        	 20951	04 29 31.54	+17 53 35.7	 8.95	 67.38141803	 17.89326307	  24.19	 0.831	K0V

Cl Melotte 25 8         	 18658	03 59 40.41	+10 19 49.5	 6.35	 59.91839435	 10.33041083	  25.42	 0.417	F5V

Cl Melotte 25 81        	 21008	04 30 17.91	+19 50 26.3	 7.09	 67.57463636	 19.84064458	  19.94	 0.470	F6V

Cl Melotte 25 85        	 21053	04 30 46.74	+16 08 55.5	 6.50	 67.69473555	 16.14875140	  24.28	 0.428	F5V

Cl Melotte 25 87        	 21099	04 31 15.63	+20 07 59.8	 8.59	 67.81511694	 20.13326396	  21.81	 0.734	G8V

Cl Melotte 25 88        	 21112	04 31 29.29	+13 54 12.7	 7.78	 67.87204966	 13.90351710	  19.46	 0.540	F9V

Cl Melotte 25 9         	 18719	04 00 39.45	+20 22 50.2	 8.66	 60.16437746	 20.38061015	  16.04	 0.705	G4V



Cl Melotte 25 96        	 21280	04 33 58.48	+15 09 49.3	 8.48	 68.49365197	 15.16370338	  24.02	 0.847	G5

Cl Melotte 25 97        	 21317	04 34 35.25	+15 30 16.9	 7.90	 68.64686969	 15.50468788	  23.19	 0.631	G1V












GJ 109                  	 12781	02 44 14.95	+25 31 27.3	10.55	 41.06229453	 25.52424901	 132.42	 1.530	M3.5Ve


GJ 122                  	 14633	03 09 04.01	+76 02 32.4	 9.82	 47.26670225	 76.04234642	  46.91	 1.321	M0

GJ 125                  	 14669	03 09 31.15	+45 44 01.2	10.11	 47.37980007	 45.73367767	  64.83	 1.473	M2

GJ 14                   	  1368	00 17 05.94	+40 56 53.1	 8.99	  4.27473316	 40.94809407	  66.71	 1.370	M0

GJ 148                  	 17207	03 41 10.55	+03 36 43.0	 9.61	 55.29394467	  3.61195407	  39.87	 1.360	Mp

GJ 154                  	 17609	03 46 19.89	+26 12 57.5	 9.61	 56.58286876	 26.21598281	  68.62	 1.437	K5



GJ 168                  	 20359	04 21 35.92	+48 20 13.1	 9.63	 65.39964854	 48.33696228	  32.58	 1.166	K8

GJ 181                  	 23147	04 58 50.47	+49 50 58.4	 9.80	 74.71030549	 49.84956222	  60.48	 1.413	M2

GJ 182                  	 23200	04 59 34.81	+01 47 01.5	10.05	 74.89504630	  1.78375097	  37.50	 1.394	M0.5Ve



GJ 2                    	   428	00 05 10.16	+45 47 13.0	 9.95	  1.29233645	 45.78693438	  86.98	 1.472	M2

GJ 208                  	 26335	05 36 30.99	+11 19 40.8	 8.78	 84.12913389	 11.32800602	  87.90	 1.415	K7

GJ 212                  	 26801	05 41 30.73	+53 29 27.8	 9.78	 85.37802824	 53.49105798	  80.13	 1.473	M1

GJ 228A                 	 29316	06 10 54.77	+10 19 13.1	10.41	 92.72819625	 10.32031841	  92.77	 1.450	M3


GJ 239                  	 31635	06 37 11.27	+17 33 50.4	 9.63	 99.29694468	 17.56399483	 101.59	 1.480	M1:

GJ 251                  	 33226	06 54 49.47	+33 16 08.9	 9.89	103.70610465	 33.26914569	 181.32	 1.580	K:...

GJ 265A                 	 34222	07 05 42.28	+27 28 15.8	10.14	106.42614918	 27.47106422	  41.63	 1.340	M0V

GJ 270                  	 35495	07 19 30.99	+32 49 51.4	10.06	109.87910788	 32.83093125	  50.59	 1.420	M2:

GJ 271B                 	 35550	07 20 07.39	+21 58 56.4	 3.50	110.03078890	 21.98233941	  55.45	 0.374	F0IV...


GJ 277B                 	 36627	07 31 57.51	+36 13 49.6	11.82	112.98964545	 36.23045504	  87.15	 1.567	M4

GJ 281                  	 37288	07 39 23.12	+02 11 03.3	 9.66	114.84635403	  2.18426228	  67.27	 1.379	M0

GJ 285                  	 37766	07 44 40.38	+03 33 12.8	11.19	116.16823269	  3.55354943	 168.59	 1.600	M4.5Ve

GJ 287                  	 37798	07 45 01.14	+02 08 16.4	10.19	116.25476091	  2.13787935	  40.58	 1.349	M0

GJ 30                   	  3418	00 43 33.00	+33 50 43.6	 8.73	 10.88750898	 33.84543280	  48.16	 1.130	K8

GJ 322                  	 43534	08 52 00.21	+66 07 52.5	 9.26	133.00088105	 66.13125503	  60.63	 1.319	K5


GJ 328                  	 43790	08 55 07.60	+01 32 56.6	 9.99	133.78164853	  1.54904637	  49.92	 1.372	M1

GJ 335B                 	 45038	09 10 23.53	+67 08 03.3	 4.80	137.59802574	 67.13423886	  48.87	 0.489	F7IV-V

GJ 336                  	 44955	09 09 30.84	+32 49 15.0	 9.96	137.37850887	 32.82083717	  47.24	 1.380	M2

GJ 34B                  	  3821	00 49 05.10	+57 48 59.6	 3.46	 12.27125262	 57.81654770	 167.99	 0.587	G0V SB

GJ 353                  	 46769	09 31 56.48	+36 19 17.4	10.19	142.98535329	 36.32150319	  73.88	 1.475	M0


GJ 393                  	 51317	10 28 55.90	+00 50 34.0	 9.65	157.23292924	  0.84277841	 138.29	 1.507	M2


GJ 397                  	 51525	10 31 24.69	+45 31 39.0	 8.85	157.85287346	 45.52749552	  63.81	 1.330	K7V

GJ 400A                 	 52600	10 45 21.51	+38 30 41.1	 9.16	161.33964291	 38.51140325	  70.87	 1.416	M2

GJ 426B                 	 55486	11 21 49.44	+18 11 24.8	 7.93	170.45598085	 18.19023277	  31.68	 0.894	K6+...

GJ 441                  	 57387	11 45 56.11	+72 05 43.9	 8.80	176.48380110	 72.09554138	  36.31	 1.167	K8

GJ 450                  	 57802	11 51 07.53	+35 16 17.0	 9.76	177.78138205	 35.27139762	 116.92	 1.477	M1V


GJ 471                  	 61094	12 31 16.18	+08 48 42.7	 9.74	187.81741889	  8.81187017	  74.58	 1.441	M0:



GJ 485                  	 62406	12 47 20.10	+31 12 51.1	 9.86	191.83374120	 31.21420625	  34.19	 1.274	K4V

GJ 49                   	  4872	01 02 37.95	+62 20 41.4	 9.56	 15.65812055	 62.34482783	  99.44	 1.463	K5V...

GJ 490A                 	 63253	12 57 40.45	+35 13 31.5	10.57	194.41853629	 35.22541982	  55.27	 1.423	M0Vvar

GJ 494                  	 63510	13 00 46.95	+12 22 32.7	 9.76	195.19563143	 12.37576387	  87.50	 1.448	M2

GJ 4B                   	   473	00 05 40.28	+45 48 44.8	 8.20	  1.41782275	 45.81245496	  85.10	 1.410	K2


GJ 507A                 	 65011	13 19 33.32	+35 06 43.4	 9.48	199.88881477	 35.11204745	  75.96	 1.470	M0




GJ 528B                 	 67422	13 49 04.28	+26 58 48.5	 7.05	207.26781460	 26.98012928	  73.25	 1.110	K2

GJ 533                  	 67808	13 53 27.65	+12 56 39.1	 9.78	208.36522264	 12.94418695	  47.95	 1.369	M0



GJ 546                  	 70218	14 21 57.64	+29 37 49.3	 8.56	215.49016751	 29.63036497	  69.43	 1.275	K5V




GJ 561                  	 71981	14 43 19.26	+26 44 59.0	 9.67	220.83023500	 26.74973066	  14.36	 0.733	G5

GJ 569                  	 72944	14 54 29.07	+16 06 04.9	10.11	223.62112279	 16.10135877	 101.91	 1.500	M2Ve

GJ 572                  	 73470	15 00 55.38	+45 25 31.1	 9.15	225.23074748	 45.42530804	  85.48	 1.427	M0

GJ 576                  	 73786	15 04 53.88	+05 38 21.6	 9.83	226.22450988	  5.63933100	  52.11	 1.300	K5


GJ 608                  	 78423	16 00 36.41	+61 39 40.9	 9.99	240.15171641	 61.66137496	  29.13	 1.292	M0

GJ 617B                 	 79762	16 16 46.04	+67 15 21.7	10.69	244.19184900	 67.25602668	  93.14	 1.500	M3

GJ 619                  	 80093	16 20 52.75	+40 57 40.2	 8.99	245.21979056	 40.96117561	  62.86	 1.286	M0

GJ 642                  	 82694	16 54 12.36	+11 54 50.1	10.75	253.55148651	 11.91391370	  52.43	 1.405	M1

GJ 649                  	 83043	16 58 08.92	+25 44 43.4	 9.70	254.53718424	 25.74539445	  96.90	 1.522	M2

GJ 659B                 	 83996	17 10 12.27	+54 29 25.4	 9.34	257.55112357	 54.49039523	  47.86	 1.257	K8

GJ 669A                 	 84794	17 19 54.35	+26 30 00.0	11.26	259.97645029	 26.49999989	  83.01	 1.628	M4

GJ 685                  	 86087	17 35 34.16	+61 40 58.1	 9.98	263.89231937	 61.68281406	  70.95	 1.456	M1



GJ 694                  	 86776	17 43 55.95	+43 22 48.3	10.49	265.98314449	 43.38007697	 105.39	 1.528	M3

GJ 697                  	 87579	17 53 29.98	+21 19 30.5	 8.50	268.37492306	 21.32515234	  40.22	 0.940	K0

GJ 698                  	 87768	17 55 44.93	+18 30 01.8	 9.22	268.93719440	 18.50050011	  43.40	 1.180	K5


GJ 70                   	  8051	01 43 20.43	+04 19 24.7	10.93	 25.83510906	  4.32351508	  88.86	 1.525	M2V:


GJ 703                  	 88766	18 07 18.65	+15 56 47.2	 8.66	271.82771923	 15.94645114	  16.73	 0.647	G0

GJ 705                  	 88778	18 07 24.18	+15 57 24.0	 8.18	271.85072956	 15.95667986	   4.06	 1.276	K2

GJ 708                  	 89449	18 15 18.26	+18 29 59.5	10.06	273.82607189	 18.49985259	  33.91	 1.323	M1

GJ 720A                 	 91128	18 35 18.01	+45 44 35.4	 9.84	278.82505166	 45.74315534	  64.61	 1.415	M2

GJ 730                  	 92417	18 50 00.94	+03 05 20.8	10.73	282.50390954	  3.08910317	  45.88	 1.446	M2

GJ 731                  	 92573	18 51 51.32	+16 35 04.0	10.16	282.96383719	 16.58445361	  64.13	 1.447	M2

GJ 735                  	 92871	18 55 27.36	+08 24 09.6	10.10	283.86398515	  8.40267585	  86.27	 1.539	M2Ve


GJ 751                  	 94622	19 15 18.69	+24 53 47.5	 9.71	288.82787160	 24.89653555	  35.21	 1.304	M0


GJ 767B                 	 97292	19 46 23.61	+32 01 04.8	 9.74	296.59837325	 32.01800544	  74.90	 1.517	M1+...

GJ 793                  	101180	20 30 31.42	+65 26 55.9	10.54	307.63092880	 65.44886952	 125.62	 1.542	M3

GJ 804                  	102357	20 44 21.95	+19 45 04.1	10.29	311.09147356	 19.75114435	  50.18	 1.457	M2

GJ 829                  	106106	21 29 36.20	+17 38 32.6	10.33	322.40081536	 17.64237600	 148.29	 1.620	M4

GJ 835                  	106811	21 38 00.07	+27 43 26.1	 9.83	324.50030674	 27.72392564	  76.07	 1.495	

GJ 839                  	108092	21 53 58.70	+41 46 47.6	10.30	328.49458666	 41.77989728	  43.07	 1.333	M2

GJ 851                  	109555	22 11 29.89	+18 25 32.7	10.25	332.87454924	 18.42575716	  87.42	 1.465	M2

GJ 854                  	109980	22 16 31.19	+68 20 23.3	 9.23	334.12996055	 68.33981857	  41.69	 1.170	K5

GJ 860B                 	110893	22 28 00.42	+57 41 49.3	 9.59	337.00174003	 57.69702005	 249.52	 1.613	M2V

GJ 863                  	111313	22 33 01.91	+09 22 39.5	10.36	338.25794972	  9.37763447	  78.07	 1.501	M0V:


GJ 870                  	111942	22 40 30.22	+43 00 48.6	 9.83	340.12591100	 43.01349644	  23.29	 1.094	K8

GJ 873                  	112460	22 46 50.31	+44 20 06.4	10.29	341.70961216	 44.33510774	 198.07	 1.540	M4.5Ve

