#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-07-01T03:26:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595715f620d8	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595715f620d8&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
HIP 111748              	111748	22 38 11.71	+45 49 41.6	 7.06	339.54881177	 45.82822680	  19.75	 0.582	F8

HIP 111960              	111960	22 40 43.13	-29 40 28.0	 7.83	340.17970196	-29.67443776	  73.85	 1.143	K4/K5V

HIP 112190              	112190	22 43 21.39	-06 24 00.4	 8.11	340.83913863	 -6.40011587	  46.46	 0.966	K0

HIP 112527              	112527	22 47 32.68	+83 41 48.3	 7.53	341.88617881	 83.69674476	  50.15	 0.867	K2

HIP 112812              	112812	22 50 46.21	+52 03 39.7	 7.22	342.69253727	 52.06102292	  31.95	 0.590	G0

HIP 112813              	112813	22 50 46.32	-07 18 42.8	 7.01	342.69298521	 -7.31189044	   4.30	 1.192	K0

HIP 112870              	112870	22 51 26.11	+13 58 10.2	 8.29	342.85880920	 13.96949165	  47.56	 0.849	K0


HIP 113086              	113086	22 54 07.45	+19 53 32.5	 7.02	343.53103823	 19.89237128	  22.89	 0.530	F8

HIP 113283              	113283	22 56 23.83	-31 33 54.6	 6.48	344.09927760	-31.56517871	 130.94	 1.094	K4Vp

HIP 113296              	113296	22 56 35.43	+16 33 14.8	 8.68	344.14764241	 16.55412209	 145.27	 1.507	M2:

HIP 113386              	113386	22 57 48.09	-26 06 27.2	 7.60	344.45037063	-26.10756515	  14.55	 0.679	G3V

HIP 113421              	113421	22 58 15.54	-02 23 43.2	 6.17	344.56477026	 -2.39534611	  50.71	 0.744	G8IV

HIP 113438              	113438	22 58 29.80	+09 49 31.9	 7.67	344.62417869	  9.82552486	  22.87	 0.617	G0

HIP 113576              	113576	23 00 16.69	-22 31 28.2	 7.88	345.06954949	-22.52448801	 122.80	 1.379	K5/M0V

HIP 113896              	113896	23 03 57.09	-04 47 41.8	 6.68	345.98785818	 -4.79495356	  32.50	 0.581	F8V

HIP 113905              	113905	23 04 01.96	+74 28 38.4	 8.12	346.00817439	 74.47733814	  20.49	 0.632	G5

HIP 113989              	113989	23 05 05.15	+68 25 00.0	 7.49	346.27146742	 68.41666824	  33.65	 0.646	G6V


HIP 114322              	114322	23 09 10.36	-02 15 37.8	 8.59	347.29316016	 -2.26050792	  33.40	 1.012	K3V

HIP 114411              	114411	23 10 15.28	-25 55 52.9	11.27	347.56366641	-25.93136597	  63.73	 1.566	

HIP 114886              	114886	23 16 17.91	+30 40 12.0	 8.07	349.07464283	 30.66998899	  41.33	 0.871	K2V

HIP 114914              	114914	23 16 35.14	-01 35 11.7	 7.60	349.14642505	 -1.58657079	  18.30	 0.654	G4


HIP 115194              	115194	23 19 57.78	+28 52 04.7	 8.87	349.99074690	 28.86797386	  31.50	 0.811	K1V

HIP 115279              	115279	23 20 52.91	+16 42 39.2	 8.50	350.22047259	 16.71089693	  13.07	 0.561	F7V


HIP 115445              	115445	23 23 04.63	-10 45 53.6	 7.80	350.76927866	-10.76487639	  51.37	 0.881	K2V

HIP 11548               	 11548	02 28 48.54	+29 55 53.7	 5.89	 37.20224439	 29.93158402	  32.48	 0.591	G0V

HIP 115839              	115839	23 28 05.14	-11 26 58.9	 6.37	352.02140081	-11.44969884	   8.83	 0.902	G6/G8III

HIP 116106              	116106	23 31 31.40	-04 05 13.0	 6.50	352.88082708	 -4.08693695	  38.11	 0.531	F8V

HIP 116215              	116215	23 32 49.19	-16 50 42.4	 8.59	353.20496028	-16.84511194	  71.70	 1.290	K5/M0V

HIP 116259              	116259	23 33 23.87	+42 50 46.4	 7.14	353.34944685	 42.84622206	  30.24	 0.585	G0

HIP 116410              	116410	23 35 23.07	+02 13 28.4	 8.42	353.84614531	  2.22456087	  25.82	 0.720	G5

HIP 116416              	116416	23 35 25.74	+31 09 43.2	 7.90	353.85726949	 31.16198982	  42.63	 0.845	G5

HIP 116906              	116906	23 41 51.62	-05 59 07.8	 7.68	355.46506334	 -5.98548732	  23.84	 0.648	G5

HIP 116984              	116984	23 42 56.53	+00 14 22.8	 8.65	355.73554582	  0.23967737	  22.85	 0.810	G5

HIP 117258              	117258	23 46 34.00	-08 59 48.3	 7.23	356.64167796	 -8.99674047	  25.92	 0.551	G0

HIP 117367              	117367	23 47 52.20	+04 10 32.0	 7.69	356.96749718	  4.17555321	  21.43	 0.627	G2V

HIP 117427              	117427	23 48 36.80	-15 12 37.4	 8.78	357.15333363	-15.21039345	  18.65	 0.742	G5V


HIP 117526              	117526	23 50 05.48	+02 52 36.2	 8.34	357.52282605	  2.87672110	  20.55	 0.744	G7V

HIP 117668              	117668	23 51 48.69	-33 27 09.5	 7.86	357.95288364	-33.45264740	  14.45	 0.719	G5V

HIP 117886              	117886	23 54 46.33	-21 46 29.4	10.80	358.69304607	-21.77482015	  40.44	 1.431	M0

HIP 118115              	118115	23 57 33.25	-09 38 49.8	 7.89	359.38853299	 -9.64716359	  20.98	 0.643	G2V

HIP 11843               	 11843	02 32 54.15	+15 02 04.1	 6.00	 38.22562452	 15.03446457	  34.84	 0.572	F8V

HIP 120005              	 45343	09 14 24.27	+52 41 16.8	 7.64	138.60112218	 52.68799270	 161.59	 1.410	M0V

HIP 12048               	 12048	02 35 20.02	-03 33 34.3	 6.83	 38.83341680	 -3.55953966	  27.85	 0.670	G5IV

HIP 12158               	 12158	02 36 41.57	-03 09 22.6	 8.10	 39.17322260	 -3.15627771	  41.09	 0.944	K0

HIP 12198               	 12198	02 37 05.65	+12 54 07.6	 8.66	 39.27352449	 12.90210947	  13.43	 0.665	G5

HIP 12306               	 12306	02 38 28.19	+30 49 03.2	 7.36	 39.61747275	 30.81756750	  27.89	 0.583	G0V

HIP 12364               	 12364	02 39 09.56	-26 19 05.3	 8.76	 39.78983744	-26.31814507	  15.18	 0.601	F7Vw...

HIP 12764               	 12764	02 44 00.86	-06 00 33.7	 7.07	 41.00359859	 -6.00937192	  22.73	 0.534	F5

HIP 12777               	 12777	02 44 11.69	+49 13 43.2	 4.10	 41.04869991	 49.22866639	  89.03	 0.514	F7V

HIP 12781               	 12781	02 44 14.95	+25 31 27.3	10.55	 41.06229453	 25.52424901	 132.42	 1.530	M3.5Ve

HIP 12797               	 12797	02 44 28.98	-24 24 54.1	 8.39	 41.12074309	-24.41502518	  22.68	 0.772	G8V

HIP 12926               	 12926	02 46 15.05	+25 39 00.9	 7.89	 41.56271915	 25.65026311	  38.95	 0.840	K1IV

HIP 12929               	 12929	02 46 17.12	+11 46 32.7	 8.59	 41.57133117	 11.77575063	  62.83	 1.269	K5

HIP 13027               	 13027	02 47 27.35	+19 22 20.0	 6.90	 41.86395248	 19.37221052	  30.66	 0.680	G0

HIP 13258               	 13258	02 50 36.69	+15 42 39.2	 8.87	 42.65286081	 15.71087586	  44.61	 1.194	K5

HIP 13642               	 13642	02 55 38.89	+26 52 25.3	 7.52	 43.91202372	 26.87368205	  43.71	 0.953	K2

HIP 1368                	  1368	00 17 05.94	+40 56 53.1	 8.99	  4.27473316	 40.94809407	  66.71	 1.370	M0

HIP 13769               	 13769	02 57 13.18	-24 58 30.1	 7.84	 44.30490789	-24.97504103	  38.87	 0.960	K2V

HIP 13976               	 13976	03 00 02.62	+07 44 58.9	 7.97	 45.01091188	  7.74970382	  42.66	 0.926	G5

HIP 14086               	 14086	03 01 37.45	-28 05 25.7	 5.88	 45.40604298	-28.09048221	  32.94	 0.794	G8/K0V

HIP 14150               	 14150	03 02 25.87	+26 36 34.7	 6.62	 45.60780944	 26.60964871	  47.25	 0.696	G8V

HIP 14241               	 14241	03 03 38.76	-05 39 56.4	 8.08	 45.91151475	 -5.66565632	  28.33	 0.677	G5

HIP 14258               	 14258	03 03 50.68	+06 07 59.4	 6.92	 45.96116153	  6.13318019	  31.75	 0.552	F8

HIP 1444                	  1444	00 17 58.63	-13 27 20.3	 6.51	  4.49430346	-13.45563887	  38.24	 0.599	G2V

HIP 14501               	 14501	03 07 18.58	-13 45 40.1	 6.97	 46.82741621	-13.76114966	  31.76	 0.645	G3V

HIP 14532               	 14532	03 07 39.23	+36 37 05.3	 7.36	 46.91345143	 36.61815129	  23.44	 0.672	G0


HIP 14684               	 14684	03 09 42.23	-09 34 45.6	 8.48	 47.42597613	 -9.57933346	  24.90	 0.810	G0


HIP 14954               	 14954	03 12 46.32	-01 11 45.4	 5.07	 48.19301506	 -1.19593294	  44.69	 0.575	F8V

HIP 1499                	  1499	00 18 41.62	-08 03 09.5	 6.47	  4.67342336	 -8.05265094	  42.67	 0.674	G0V

HIP 15099               	 15099	03 14 46.99	+08 58 54.4	 7.83	 48.69579281	  8.98177593	  44.96	 0.861	K0

HIP 15323               	 15323	03 17 40.12	+31 07 37.9	 6.40	 49.41715145	 31.12718548	  36.86	 0.574	G0

HIP 15442               	 15442	03 19 01.75	-02 50 34.6	 7.05	 49.75727628	 -2.84294728	  40.52	 0.655	G0

HIP 15669               	 15669	03 21 52.37	+49 04 15.8	 5.94	 50.46821583	 49.07105892	  21.86	 0.468	F6V

HIP 15776               	 15776	03 23 17.70	-07 47 36.8	 6.20	 50.82374810	 -7.79356443	  27.09	 0.702	G2V

HIP 15904               	 15904	03 24 50.02	+12 15 28.0	10.76	 51.20842976	 12.25777908	  12.65	 0.571	G0

HIP 15919               	 15919	03 24 59.87	-05 21 42.8	 7.86	 51.24944102	 -5.36188736	  66.15	 1.153	K5V

HIP 16107               	 16107	03 27 29.39	+34 48 24.5	 8.18	 51.87245502	 34.80680706	  14.04	 0.623	G0


HIP 16405               	 16405	03 31 15.49	+20 46 06.8	 8.08	 52.81455616	 20.76854985	  20.04	 0.680	G5

HIP 16517               	 16517	03 32 39.82	+35 39 34.0	 7.29	 53.16592590	 35.65943530	  20.45	 0.503	F8

HIP 16538               	 16538	03 32 57.55	+16 35 55.2	 7.03	 53.23977846	 16.59866190	  18.16	 0.503	F5

HIP 16641               	 16641	03 34 08.32	+17 50 00.9	 6.14	 53.53466813	 17.83358303	  23.57	 0.891	K1IVe...

HIP 16727               	 16727	03 35 12.84	-00 44 19.0	 8.54	 53.80350661	 -0.73861013	  19.81	 0.789	G5

HIP 17147               	 17147	03 40 21.66	-03 12 59.3	 6.68	 55.09025656	 -3.21646054	  41.07	 0.554	F9V

HIP 17378               	 17378	03 43 14.96	-09 45 54.7	 3.52	 55.81231706	 -9.76519868	 110.58	 0.915	K0IV

HIP 17420               	 17420	03 43 55.15	-19 06 40.6	 7.10	 55.97979823	-19.11127994	  71.17	 0.927	K2V


HIP 17960               	 17960	03 50 22.90	+17 28 37.1	 7.50	 57.59540957	 17.47697953	  21.50	 0.653	G0

HIP 18106               	 18106	03 52 11.48	+25 09 48.5	 6.77	 58.04781699	 25.16347704	  25.34	 0.583	G0

HIP 1813                	  1813	00 23 00.08	+22 22 31.9	 7.57	  5.75033827	 22.37553791	  24.68	 0.639	F8

HIP 18208               	 18208	03 53 37.68	+28 08 53.3	 7.89	 58.40699384	 28.14814044	   8.98	 0.840	G8V

HIP 18267               	 18267	03 54 27.90	+16 36 59.2	 6.81	 58.61625430	 16.61645599	  48.36	 0.719	G0

HIP 18280               	 18280	03 54 35.47	-06 49 38.3	 9.02	 58.64778859	 -6.82729666	  64.90	 1.366	M0V

HIP 18309               	 18309	03 54 51.09	+52 25 12.8	 7.87	 58.71286751	 52.42022712	  15.36	 0.683	G1V

HIP 18324               	 18324	03 55 03.31	+61 10 02.7	 7.84	 58.76380482	 61.16740375	  46.95	 0.831	K0V

HIP 18388               	 18388	03 55 49.35	-04 31 36.1	 7.06	 58.95562582	 -4.52670309	  20.54	 0.500	F5

HIP 18432               	 18432	03 56 28.60	-25 10 50.4	 6.88	 59.11916193	-25.18066027	  25.77	 0.748	G8V

HIP 18512               	 18512	03 57 28.81	-01 09 32.8	 8.07	 59.37003110	 -1.15911386	  63.41	 1.115	K4V

HIP 18606               	 18606	03 58 52.42	-05 28 10.3	 5.85	 59.71842188	 -5.46952376	  22.88	 1.001	G9V

HIP 18774               	 18774	04 01 18.81	+76 09 38.5	 8.20	 60.32839099	 76.16070064	  62.57	 1.132	K4V

